f_e = 3.5702780514499373, P = 490000
f_e = 4.963035014437329, P = 492000
f_e = 3.8963878741733398, P = 494000
f_e = 3.6656624457837865, P = 496000
f_e = 3.531146778527307, P = 498000
f_e = 3.805067756022612, P = 500000
f_e = 3.8823815044751933, P = 502000
f_e = 3.819290078732121, P = 504000
f_e = 4.017291215111195, P = 506000
f_e = 3.869198255743042, P = 508000
f_e = 3.9573355410837308, P = 510000
f_e = 3.9185101039896884, P = 512000
f_e = 4.087282118627734, P = 514000
f_e = 4.0597134790485985, P = 516000
f_e = 4.097172336039013, P = 518000
f_e = 4.184543653137167, P = 520000
f_e = 1.9288486850408222, P = 522000
f_e = 4.282630056203211, P = 524000
f_e = 4.450025547675689, P = 526000
f_e = 4.230475373841286, P = 528000
f_e = 4.529753267948368, P = 530000
f_e = 4.598897132645182, P = 532000
f_e = 4.761477714811247, P = 534000
f_e = 4.754663149838956, P = 536000
f_e = 4.8331470572564905, P = 538000
f_e = 4.741452146957959, P = 540000
f_e = 4.750289149059895, P = 542000
f_e = 5.334048554467967, P = 544000
f_e = 4.742729751905555, P = 546000
f_e = 4.812104568220207, P = 548000
f_e = 4.681529123697277, P = 550000
f_e = 4.796646955401699, P = 552000
f_e = 5.346927672826742, P = 554000
f_e = 4.944844458955113, P = 556000
f_e = 5.788248412652958, P = 558000
f_e = 5.080127356705399, P = 560000
f_e = 5.606522880260375, P = 562000
f_e = 5.434049135425345, P = 564000
f_e = 5.289252234627863, P = 566000
f_e = 5.521388411826747, P = 568000
f_e = 5.6770387604565, P = 570000
f_e = 5.871501414625695, P = 572000
f_e = 5.815466669524416, P = 574000
f_e = 6.261211045280451, P = 576000
f_e = 6.2505034759326685, P = 578000
f_e = 6.682105418394107, P = 580000
f_e = 5.883485226106498, P = 582000
f_e = 7.28071243433291, P = 584000
f_e = 6.7871229261935575, P = 586000
f_e = 6.824730618193359, P = 588000
f_e = 6.610776566261988, P = 590000
f_e = 6.846415291808772, P = 592000
f_e = 6.61164573118212, P = 594000
f_e = 6.992958330385979, P = 596000
f_e = 7.582525735114039, P = 598000
f_e = 7.335222027622665, P = 600000
f_e = 7.732589439147966, P = 602000
f_e = 8.218658925760016, P = 604000
f_e = 8.696667675099432, P = 606000
f_e = 7.635346817751526, P = 608000
f_e = 8.14908425490213, P = 610000
f_e = 8.796207928017711, P = 612000
f_e = 9.458087046396258, P = 614000
f_e = 9.744042852760805, P = 616000
f_e = 10.541886096601237, P = 618000
f_e = 9.887745542178356, P = 620000
