parallel, transfer, serial, row size
23970,9321,99,1
33763,18196,7197,26
45733,24684,27523,51
61904,35086,60595,76
84014,50640,109602,101
102381,60952,166052,126
166624,117519,238924,151
193764,129436,333690,176
250909,166081,433898,201
387329,232497,533859,226
407314,236463,687950,251
410836,241115,796592,276
499422,346879,947772,301
520037,352192,1111642,326
640383,445406,1298581,351
736250,519642,1479102,376
741530,505521,1683956,401
849766,599927,1897632,426
942730,679627,2136271,451
1143509,862512,2402996,476
1199824,886646,2675284,501
1209956,868097,2895868,526
1305415,944988,3187410,551
1403628,1010213,3408403,576
1523296,1118873,3779551,601
1704191,1228572,4112611,626
1678908,1221220,4459308,651
1915512,1435025,4781443,676
1979197,1471768,5142266,701
2315157,1785914,5515695,726
2212739,1656258,6119495,751
2371217,1718237,6317615,776
2399691,1784006,6717178,801
2890589,1980649,7143161,826
3023380,2277563,7581958,851
2994868,2252295,8024874,876
3041503,2225780,9834274,901
3205690,2367118,8990057,926
3439054,2608252,9528808,951
3715485,2800037,9966975,976
