parallel, transfer, serial, row size
31903,17070,109,1
47520,31447,7152,26
48739,29545,27277,51
66262,42093,60533,76
111298,55348,107163,101
109795,69377,162470,126
169586,121790,240040,151
192935,133812,324245,176
232219,158258,426863,201
313244,222988,534903,226
352634,246857,698109,251
398105,275104,830956,276
477016,330007,924829,301
517067,347897,1112486,326
628898,434593,1288466,351
736400,523435,1478023,376
787355,556733,1680995,401
859272,614145,1898435,426
1003245,743690,2127647,451
1216840,941391,2404824,476
1209923,895188,2629550,501
1325105,981801,2895208,526
1317410,956876,3176979,551
1529306,1107197,3473598,576
1731511,1326777,3787271,601
1749604,1320657,4099637,626
1827911,1367230,4330768,651
2010746,1535732,4781462,676
2035771,1529320,5140605,701
2390405,1855244,5515380,726
2338399,1767230,5894427,751
2373578,1789536,6299945,776
2563625,1920959,6713288,801
2816470,2169143,7139548,826
3002886,2318767,7601579,851
3040784,2317366,8031241,876
3236857,2485360,8313200,901
3321595,2533187,8966079,926
3570929,2760541,9459888,951
3746809,2879597,9972142,976
